"","","","Table 4.  Auger yields; wlues calculated from eq(8) with entries from  table  3D","","","","","","",""
"Z","aK","at","al","a3","Z","","aK","al","al","a3"
"5  B","0.998","","","","60  110","","0.019","0.4118","0.12""","0.815"
"6  C","0.997","","","","61  pf!","","0.015","0.4411","0.117","0.868"
"It 
7","0.995","","","","62  3l'1","","0.071","0.1+37","0.710","0.661"
"8 
0","0.992","","","","63  EO","","0.068","0.432","0.102","0.853"
"q  F","0.987","","","","64  GD","","0.065","0.428","0.695","0.945"
"10  NE","0.982","","","","65  TB","","0.062","0.42""","0.6B8","0.836"
"11 
NA","0.917","","","","66  DY","","0.059","0.419","0.679","0.826"
"12","0.970","0.038","0.999","0.999","67  80","","0.056","0.416","0.669","0.818"
"""G","","","","","","","","","",""
"13 
lL","0.961","0.035","0.999","0.999","68  ER","","0.053","0.413","0.660","0 .. R08"
"14  51","0.950","0.041","1.000","1.000","69  Tn","","0.051","0.411","0.650","0.799"
"15  P","0.9]7","0.049","1.000","1.000","70  YB","","0.049","0.410","0.640","0.190"
"16  5","0.922","0.056","1.000","1.000","71 
LD","","0.041","0.408","0.630","0.780"
"17  CL","0.903","0.061","1.000","1.000","12  Hr","","0.045","0 •. 401","0.619","0.169"
"1A 
A8","0.882","0.066","1.000","1.000","73  TA",".","0.043","0.406","0.608","0.751"
"19  K","0.860","0.071","1.000","1.000","","","0.042","0.406","0.591","0.745"
"","","","","","74  ""","","","","",""
"20  CA","0.837","0.080","1.000","1.000","75  HE","","0.041","0.371","0.587","0.732"
"21 
5C","0.812","0.088","0.999","0.999","76  05","","0.039","0.318","0.577","0.719"
"22  TI","0.786","0.098","0.999","0.999","17  IR","","0.038","0.277","0.566","0.706"
"23  v","0.757","0.105","0.997","0.997","79  P'l'","","0.017","O.?U6","D.SC;S","0.69U"
"24  CR","0 .. 725","0.11 q","0.996","0.996","79  AU","","0.036","0.221","0.544","0.680"
"25  MN","0.692","0.122","0.995","0.995","80  HG","","0 .. 035","0.203","0.533","0.667"
"26  FE","0.660","0.131","0.994","0.994","81 
TL","","0.034","0.197","0.522","0.65.1"
"27  CO","0.627","0.143","0.Q92","0.992","82  PB","","0.033","0.192","0.'511","0.640"
"28  HI","0.59ft","0.152","0.963","0.991","83  81","","0.032","0.189","0.500","0.62.7"
"29  CD","0.560","0.159","0.962","0.989","84  PO","","0.032","0.189","0.488","0.614"
"30  ZN","0.526","0.167","0.963","0.988","85 
IT","","0.031","0.187","0.474","0.601"
"31  GA","0.493","0.176","0.956","0.901","06  RN","","O.OJ1","O.1A4","0.1+61","0.':. 09"
"32  GE","0.465","0.183","0.937","0.985","81  PH","","0.030","0.181J","0.448","0.576"
"33  AS","0.438","0.188","0.923","0.984","88  RA","","0.030","0.182","0.436","0.563"
"34  5E","0.411","0.193","0.908","0.982","89  Ae","","0.029","0.183","0.424","0.'550"
"35","0.382","O. '''6","","0.960","","","0.029","","",""
"fiR","","","0.69'""","","90  TH","","","0.179","O •  .lt13","0.')31"
"36 
KR","0.357","0.199","0.880","0.978","91 
PA","","0.028","0.174","0.J89","0.524"
"37  RB","0.333","0.201","0.869","0.976","92  U","","0.028","0.172","0.366","0.511"
"38  5R","0.310","0.205","0.859","0.974","93  NP","","0.027","0.171","0.342","0.498"
"39  Y","0.290","0.209","0.848","0.972","94  PO","","0.021","0.190","0.338","0.486"
"ZR 
40","0.270","0.214","0.840","0.969","95  APlI","","0.026","0.187","0.326","0.474"
"41 
NB","0.253","0.278","0.832","0.966","96  C""","","0.026","0.185","0.321","0.461"
"42  ""0","0.235","0 .. 218","0.825","0.963","97  Sf{","","0.025","0.184","0.317","0.450"
"43  TC","0.220","0.278","0.819","0.960","98  CF","","0.025","0.183","0.J13","0.440"
"44 
RO","0.206","0.219","0.812","0.951","99  ES","","0.025","o. 1~ 2","0 ..  307","0.430"
"45 
RM","0.192","0.292","0.801","0.954","100  Ffil","","0.024","0.1S1","0.300","0.421"
"46  PD","0.180","0.286","0.802","0.951","P!D 
101","","0.024","0.180","0.294","0.412"
"47  AG","0.169","0.290","0.796","0.948","102  NO","","0.024","0.180","0.2R7","0.404"
"48  CD","0.157","0.294","0.789","0.944","103  LR","","0.023","0.180","0.282","0.396"
"49 
1M","0.147","0.299","0.782","0.940","104","","0.023","0.118","0.275","0.389"
"50  5N","0 •. 138","0.524","0.718","0.936","105","","0.023","0.178","0.269","0.382"
"Sf! 
51","0.130","0.513","0.775","0.931","106","","0.022","0.177","0.264","0.376"
"52  TE","0.123","0.504","0.711","0.926","107","","0.022","0.175","0.256","0.370"
"I 
53","0.116","0.495","0.767","0.921","108","","0.022","0.172","0.251","0.165"
"S4  XE","0.109","0.488","0.163","0.915","109","","0.022","0.169","0.2""7","0.360"
"ss  CS","0.103","O.4~ 1","0.756","0.909","110","","0.021","0.169","0.241+","0.356"
"56  BA","0.098","0.47 ""","0.751","0.903","","","","","",""
"57  LA","0.093","0.467","0.74""","0.896","","","","","",""
"58  CE","0.088","0.460","0.137","0.889","","","","","",""
"59  PR","0.083","0.454","0.130","0.882","","","","","",""
